公司全名,公司简称,公司规模,公司行业,职位性质,工作地址,薪资待遇,职位名称,工作经验,工作区域,职位福利,学历要求
北京源石智影科技有限公司,智影,50-150人,"移动互联网,数据服务",全职,化工,15k-20k,python开发工程师,1-3年,朝阳区,"['专项奖金', '股票期权', '绩效奖金', '年终分红']",本科
西门子（中国）有限公司,西门子（中国）,2000人以上,"医疗健康,硬件",实习,望京南,2k-4k,Python Web 软件开发实习生,应届毕业生,朝阳区,"['带薪年假', '绩效奖金', '年度旅游', '美女多']",硕士
北京闪银奇异科技有限公司,闪银奇异,500-2000人,"移动互联网,金融",全职,,18k-35k,Python开发工程师,1-3年,朝阳区,"['13~15薪', '晋升空间大', '定期体检', '能力定薪']",本科
颐邦（北京）医院管理有限公司,颐邦科技,少于15人,"医疗健康,硬件",全职,五道口,15k-25k,Python研发工程师,1-3年,海淀区,"['""""']",本科
上海诚信互通网络信息科技有限公司,诚信互通,150-500人,"移动互联网,企业服务",全职,海淀黄庄,15k-30k,Python研发工程师,3-5年,海淀区,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",大专
联想（北京）有限公司,联想集团,2000人以上,"移动互联网,数据服务",全职,上地,10k-15k,Python 开发,1-3年,海淀区,"['技能培训', '待遇优厚', '晋升空间', '五险一金']",本科
北京旷视科技有限公司,Face++,500-2000人,"移动互联网,硬件",全职,五道口,25k-50k,高级Python后端工程师,3-5年,海淀区,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",本科
北京智胜新格科技有限公司,北京智胜新格科技有限公司,50-150人,"移动互联网,游戏",全职,五道口,15k-30k,Python开发,1-3年,海淀区,"['绩效奖金', '定期体检', '弹性工作', '扁平管理']",本科
柳州道无尽科技有限公司,柳州道无尽科技有限公司,15-50人,"电子商务,企业服务",全职,太阳宫,18k-28k,Python工程师,3-5年,朝阳区,"['""""']",本科
非凡维格（北京）信息科技有限公司,Weego Travel,15-50人,旅游,全职,国贸,25k-50k,Python高级工程师-服务器端,3-5年,朝阳区,"['股票期权', '带薪年假', '美女多', '弹性工作']",本科
