公司全名,公司简称,公司规模,公司行业,职位性质,工作地址,薪资待遇,职位名称,工作经验,工作区域,职位福利,学历要求
炫一下（北京）科技有限公司,一下科技,500-2000人,"移动互联网,文化娱乐",全职,望京东,35k-55k,Python研发工程师,3-5年,朝阳区,"['带薪年假', '绩效奖金', '岗位晋升', '管理规范']",本科
贝壳找房（北京）科技有限公司,贝壳,2000人以上,"移动互联网,O2O",全职,上地,25k-50k,Python开发工程师,3-5年,海淀区,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",本科
北京爱选信息科技有限公司,爱选科技,少于15人,"移动互联网,金融",全职,国贸,15k-25k,Python开发工程师,3-5年,朝阳区,"['免费饮料零食', '医疗补充险']",本科
北京快松果科技有限公司,松果出行,150-500人,"O2O,生活服务",全职,奥林匹克公园,30k-45k,高级Python开发工程师,3-5年,朝阳区,"['年底双薪', '股票期权', '带薪年假', '年度旅游']",本科
上海基分文化传播有限公司,趣头条,500-2000人,移动互联网,全职,海淀黄庄,25k-45k,golang/python高级工程师,3-5年,海淀区,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",本科
北京凌云雀科技有限公司,灵雀云,150-500人,"数据服务,企业服务",全职,海淀黄庄,13k-25k,Python,不限,海淀区,"['股票期权', '顶级技术团队', '带薪年假', '国际化管理']",本科
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,移动互联网,全职,枣营,10k-20k,python开发工程师,1-3年,朝阳区,"['大牛带队', '注重成长', '硅谷范儿', '免费午餐']",本科
北京聚道科技有限公司,GeneDock,15-50人,"医疗健康,数据服务",全职,西土城,25k-40k,Python后端工程师,5-10年,海淀区,"['股票期权', '带薪年假', '扁平管理', '定期体检']",本科
达而观信息科技（上海）有限公司,达观数据,50-150人,移动互联网,全职,西土城,18k-36k,Python高级开发工程师,3-5年,海淀区,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",本科
北京启明合心科技有限公司,合心科技,50-150人,"移动互联网,教育",全职,西土城,20k-35k,Python开发工程师,1-3年,海淀区,"['扁平管理', '最优秀的伙伴', '弹性工作', '公司午晚餐']",本科
北京好巧国际旅行社有限公司,好巧,150-500人,数据服务,全职,北土城,18k-30k,Python研发工程师,3-5年,朝阳区,"['五险一金', '弹性工作', '扁平管理', '百万医疗']",大专
爱赛因斯（北京）科技有限公司,PMCAFF产品经理社区,15-50人,"社交网络,教育",全职,望京南,15k-30k,Python工程师,3-5年,朝阳区,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",本科
北京基调网络股份有限公司,听云,150-500人,移动互联网,全职,太阳宫,17k-24k,Python研发工程师,3-5年,朝阳区,"['""""']",本科
北京国双科技有限公司,Gridsum 国双,500-2000人,"数据服务,企业服务",全职,知春路,20k-40k,资深Python研发工程师,3-5年,海淀区,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",本科
上海基分文化传播有限公司,趣头条,500-2000人,移动互联网,全职,海淀黄庄,20k-40k,python开发工程师,5-10年,海淀区,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",本科
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,移动互联网,全职,大望路,15k-30k,高级Python研发工程师,3-5年,朝阳区,"['扁平管理', '弹性工作', '精英团队', '高速发展']",本科
北京首都在线科技股份有限公司,CDS,150-500人,移动互联网,全职,,15k-30k,python研发工程师,5-10年,海淀区,"['绩效奖金', '通讯津贴', '定期体检', '带薪年假']",本科
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,O2O,全职,,25k-30k,Python,3-5年,海淀区,"['带薪年假', '弹性工作', '免费班车', '美女多']",本科
锐波（北京）科技有限公司,波场TRON,150-500人,"移动互联网,金融",全职,海淀黄庄,20k-40k,高级 Python 工程师,3-5年,海淀区,"['股票期权', '扁平管理', '美女多', '五险一金']",本科
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,"金融,数据服务",全职,国贸,20k-35k,python工程师,不限,朝阳区,"['股票期权', '带薪年假', '扁平管理', '定期体检']",本科
北京优思安科技有限公司,积云教育,150-500人,教育,全职,,20k-30k,Python高级讲师,3-5年,昌平区,"['午餐补助', '带薪年假', '五险一金', '学校环境好']",本科
北京完美创意科技有限公司,更美APP,150-500人,"移动互联网,O2O",全职,望京东,25k-45k,Python高级研发工程师,3-5年,朝阳区,"['五险一金', '带薪年假', '定期体检', '岗位晋升']",本科
竞技世界（北京）网络技术有限公司,竞技世界,500-2000人,"移动互联网,游戏",全职,上地,25k-40k,服务器开发工程师（nodejs/java/python/go,5-10年,海淀区,"['节日礼物', '技能培训', '年底双薪', '年度旅游']",本科
克鲁（北京）网络科技有限公司,Castbox,50-150人,"移动互联网,文化娱乐",全职,望京南,20k-40k,Python后端开发工程师,3-5年,朝阳区,"['股票期权', '弹性工作', '六险一金', '免费按摩']",本科
人人贷商务顾问（北京）有限公司,人人贷,2000人以上,金融,全职,五道口,30k-60k,Python开发高级工程师,3-5年,海淀区,"['年底双薪', '五险一金', '交通补助', '带薪年假']",本科
路书（北京）科技有限公司,路书,50-150人,"移动互联网,旅游",全职,金台路,18k-30k,python研发工程师,3-5年,朝阳区,"['年度旅游', '五险一金', '弹性工作', '股票期权']",本科
北京琳云信息科技有限责任公司,琳云科技,15-50人,移动互联网,全职,东四,20k-30k,Python工程师,5-10年,朝阳区,[],大专
北京艾鹏承远科技有限公司,艾鹏承远,少于15人,移动互联网,全职,望京南,20k-40k,python开发工程师,3-5年,朝阳区,"['""""']",本科
北京启明合心科技有限公司,合心科技,50-150人,"移动互联网,教育",全职,西土城,20k-35k,中级python开发工程师,不限,海淀区,"['扁平管理', '最优秀的伙伴', '弹性工作', '公司午晚餐']",本科
北京优思安科技有限公司,积云教育,150-500人,教育,全职,,15k-25k,python中高级讲师,3-5年,昌平区,"['午餐补助', '带薪年假', '五险一金', '学校环境好']",本科
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,移动互联网,全职,枣营,15k-30k,高级python开发工程师,3-5年,朝阳区,"['大牛带队', '注重成长', '硅谷范儿', '免费午餐']",本科
高德软件有限公司,阿里巴巴-高德,2000人以上,移动互联网,全职,阜通,25k-50k,python高级工程师/开发专家,3-5年,朝阳区,"['弹性工作', '帅哥多', '美女多', '五险一金']",本科
